Name,Location,Company,Function
Aachen,Aachen,,Bomb demolition squads
Abteroda,Berka/Werra,BMW,Production of chemical explosives
Abteroda/Vitzeroda,Berka/Werra,BMW,Manufacture of aircraft engine parts
Allendorf,Stadtallendorf,Dynamit Nobel,Chemical products
Altenburg,Altenburg,Hugo Schneider AG,Manufacture ofÿcartridge cases
Arolsen,Bad Arolsen,,Service personnel for theÿSS officers' school
Aschersleben,Aschersleben,Junkers,Production of aircraft and engines
Augustdorf (Sennelager),Augustdorf,,Work forÿPanzerÿunit training and replacement
Bad Berka,Bad Berka,Thringische Eisenbahn-AG,Railway work
Bad Gandersheim,Bad Gandersheim,Bruns-Apparatebau (branch of theÿHeinkelÿaircraft company),Aircraft production
Bad Salzungen I,Bad Salzungen,OT-Bauleitung,Road construction
Bad Salzungen II,Bad Salzungen,OT-Sonder-Bauleitung,Potashÿmining
Bensberg,Bergisch Gladbach,OT-Bauleitung,Construction and repair work
Berga,Berga,Brabag,Tunneling
Berlstedt,Berlstedt,SS-WVHA,"Brick manufacturing, road construction"
Bernburg / Pl”mnitz,Bernburg,"OT-Bauleitung, Allgemeine Solvay-Werke",Concrete pouring
Billroda,Billroda,,"Potash mining, construction"
Blankenhain,Blankenhain,,Sand mining
Bochum I,Bochum,,Bomb demolition squads
Bochum II,Bochum,Eisen- und Httenwerke AG,Armor and steel production
Bochum III,Bochum,Bochumer Verein,Bullet manufacture
B”hlen,B”hlen,Brabag,Cleanup after an air raid
Braunschweig,Braunschweig,SS Junker School,Repair work
Colditz,Colditz,Hugo Schneider AG,Munitionsÿfactory
Crawinkel,Crawinkel,SS-WVHA,Quarryÿwork and tunneling for railways
Dessau I,Dessau,Waggonbau Dessau,Manufacture of railway cars
Dessau II,Dessau,Junkers,Production of aircraft and engines
Dortmund I,Dortmund,,Bomb demolition squads
Dortmund II,Dortmund,Dortmund-H”rder Httenverein AG,Munitions factory
Duisburg,Duisburg,City of Duisburg,Bomb demolition and general work
Dsseldorf-Friedrichstadt I,Dsseldorf,"SS and Police Leader, West Germany",Bomb demolition squads
Dsseldorf-Friedrichstadt II,Dsseldorf,SS-WVHA,Clearing debris
"Dsseldorf-Grafenberg, Dinnendahlstraáe-Schlterstraáe",Dsseldorf,Rheinmetall-Borsig AG,Parts manufacture forÿV-1ÿandÿV-2ÿmissiles
Dsseldorf-Lohausen,Dsseldorf,"SS and Police Leader, Dsseldorf",Blasting operations
Eisenach,Eisenach,BMW,Manufacture of aircraft engine parts
Elsnig,Elsnig,Westf„lisch-Anhaltische Sprengstoff AG,Production ofÿTNTÿexplosives
Espenfeld,Ohrdruf,,Construction of tunnels inÿJonas Valley
Essen I,Essen,SS-WVHA,"Clearing debris, bomb demolition"
Essen II,Essen,Krupp Gussstahlfabrik,General work in a steel mill
Fl”áberg bei Leipzig,Frohburg,Fl”ssberger Metallwerke,Manufacture of ammunition and rocket-propelled grenades
Gelsenkirchen-Horst,Gelsenkirchen,Gelsenberg Benzin AG,"Munitions factory, clearing debris"
Gieáen,Giessen,Medical and Training Division of the SS hospital,Construction ofÿbunkers
Goslar,Goslar,,General work for theÿLuftwaffeÿair base command
G”ttingen,G”ttingen,,Work in the SS cavalry school
Hadmersleben,Hadmersleben,,"Construction, airplane part manufacture"
Halberstadt,Halberstadt,"Junkers,ÿHalberstadt",Manufacture of aircraft wings
"Halberstadt """"B2""""",Halberstadt,,"Road construction, tunnel expansion"
Halberstadt-Zwieberge,Halberstadt,Malachite AG,"Tunnel, road and railway construction"
Halberstadt-Zwieberge,Halberstadt,OT-Bauleitung,Tunnel construction
Halle an der Saale,Halle,Siebel-Flugzeugwerke GmbH,Manufacture of aircraft wings
Hessisch Lichtenau,Hessisch Lichtenau,"Dynamit Nobel,ÿIG Farben",Munitions factory
Holzen bei Eschershausen,Holzen,OT-Bauleitung,Expansion of tunnels for arms production
Jena,Jena,RAWÿJena,Locomotive repair
Kassel,Kassel,,Railway repair
Kassel-Druseltal,Kassel,,Construction of a command post for theÿSS and Police Leader
K”ln I,Cologne,City of Cologne,"Blasting operations, work in gas, electricity and water utilities, work at the airport"
K”ln II,Cologne,Various,"Construction, debris removal and cleanup, repair of gas and water lines"
K”ln-Deutz,Cologne,Vereinigte Westdeutsche Waggonfabriken AG,"Manufacture of motor vehicles, cleanup and defusing bombs"
K”ln-Niehl,Cologne,Ford-Werke AG,"Manufacture of motor vehicles, bricklaying, carpentry"
Kranichfeld,Kranichfeld,SS-WVHA,Restoration of a castle inÿKranichfeld
Langensalza,Bad Langensalza,"Langenwerke AG, Junker",Manufacture and assembly of aircraft parts
Leipzig-Engelsdorf,Leipzig,,Armaments production
Leipzig-Sch”nau,Leipzig,Allgemeine Transportanlagen GmbH,Manufacture of aircraft parts
Leipzig-Sch”nefeld,Leipzig,Hugo Schneider AG,Production of anti-tank weapons and aircraft parts
Leipzig-Thekla,Leipzig,Erla Maschinenwerk,Manufacture of aircraft parts
Leopoldshall,Staáfurt,Junkers,Construction of aircraft control panels
Lichtenburg,Prettin,,Holding center for prisoners before Buchenwald camp was completed
Lippstadt I,Lippstadt,Westf„lische Metall-Industrie AG,Manufacture of munitions and aircraft parts
Lippstadt II,Lippstadt,Lippst„dter Eisen- und Metallwerke GmbH,Manufacture of munitions and aircraft parts
Ltzkendorf,nearÿMcheln,Wintershall AG,Reconstruction of oil refinery after air raid
Magdeburg,Magdeburg,Polte-Werke,"Munitions factory, clearing debris"
Markkleeberg,Markkleeberg,Junkers,Manufacture of aircraft parts
