Name,Location,Company,Function
Meuselwitz,Meuselwitz,Hugo Schneider AG,Production ofÿbazookasÿand grenades
Mittelbau-Dora,Nordhausen,"Mittelwerk GmbH, Junkers","Production of V1 flying bombs, V2 rocket assemblies, HE-162 jet engines"
Mhlhausen I,Mhlhausen,Ger„tebau GmbH,Manufacture of aircraft parts and detonators
Mhlhausen II,Mhlhausen,"Mhlenwerke AG, Junkers",Manufacture of aircraft engine parts
Niederorschel,Niederorschel,Langenwerke AG,Work in a plywood mill
Nordhausen,Nordhausen,,"Bomb demolition, clearing debris at air base"
Oberndorf beiÿHermsdorf,Kraftsdorf,Luftwaffen munitions plant,"Loading, transporting and stacking bombs"
Ohrdruf,Ohrdruf,SS-WVHA,"Railway construction, excavation"
Penig,Penig,Max Gerth Werke,Manufacture of aircraft
Raguhn bei Dessau,Raguhn,Heerbrandt Werke AG,Manufacture of aircraft parts
Rothenburg an der Saale,Rothenburg,Mansfeld AG fr Bergbau und Httenbetrieb,Production of rifle and pistol ammunition
"Saalfeld (""""Fr”hliches Tal"""")",nearÿWurzbach,OT-Bauleitung,Tunnel construction
Schlieben,Schlieben,Hugo Schneider AG,Production ofÿbazookasÿand grenades
Sch”nebeck/Elbe I,Sch”nebeck,Junkers,Manufacture of aircraft
Sch”nebeck/Elbe II,Sch”nebeck,Nationale Radiatoren,Manufacture of electrical components for the V-2 missile
Schwerte an der Ruhr,Schwerte,RAWÿSchwerte,Locomotive repair
S”mmerda,S”mmerda,Rheinmetall-Borsig AG,Munitions factory
Sonneberg-West,Sonneberg,GE Reinhardt,"Manufacture of aircraft parts, sprockets for Tiger tanks, and gears for V-weapons"
Staáfurt (Neustaáfurt),Staáfurt,OT-Bauleitung,Construction
Suhl,Suhl,Gustloff-Werke,Construction
Tannroda,Bad Berka,Mitteldeutsche Papierwerke,Paper mill
Taucha,Taucha,Hugo Schneider AG,Production of ammunition andÿrocket-propelled grenades
Tonndorf,Tonndorf,,"Construction,ÿquarryÿwork, plumbing"
Torgau,Torgau,Heeres-Munitionsanstalt,Explosives production
"Tr”glitz, Gemeinde Rehmsdorf",Elsteraue,Brabag,"Bomb demolition, clearing debris, road and railway construction"
Unna,Unna,,Work for the 5th SS Corps' news department
Usingen,Usingen,,Construction of a tunnel and bunker system
Weferlingen,Weferlingen,Bauleitung Gerhard,Production of engines for aircraft andÿU-boats
Weimar,Weimar,Gustloff-Werke,"Production of infantry vehicles, gun barrels, rifle parts, andÿmortars"
Wernigerode,Wernigerode,Rautal-Werke GmbH,Cast ironÿproduction
Westeregeln,Westeregeln,Junkers,Construction of an underground plant for Junkers aircraft and engines
Witten-Annen,Witten-Annen,Ruhrstahl AG,"Steel for aircraft production, tank parts, and metal processing"
Wolfen,Wolfen,IG-Farben,Pulp and cotton production
